iter	Passed	Remaining
0	1	173
1	3	160
2	4	157
3	6	145
4	7	143
5	9	141
6	10	140
7	12	138
8	13	136
9	14	134
10	16	132
11	17	131
12	19	129
13	20	128
14	22	126
15	24	127
16	26	127
17	27	126
18	29	125
19	31	124
20	32	122
21	34	122
22	36	120
23	37	119
24	39	118
25	41	117
26	42	115
27	44	114
28	46	112
29	47	110
30	49	110
31	51	108
32	52	107
33	54	105
34	56	104
35	57	102
36	59	100
37	60	99
38	62	97
39	64	96
40	65	94
41	66	91
42	68	90
43	69	88
44	71	87
45	72	85
46	74	83
47	76	82
48	78	81
49	80	80
50	82	79
51	85	78
52	87	77
53	89	76
54	91	74
55	93	73
56	95	72
57	97	70
58	100	69
59	102	68
60	104	67
61	107	65
62	109	64
63	111	62
64	114	61
65	117	60
66	118	58
67	121	57
68	124	55
69	126	54
70	127	52
71	129	50
72	131	48
73	132	46
74	134	44
75	136	42
76	137	41
77	139	39
78	141	37
79	142	35
80	144	33
81	146	32
82	147	30
83	149	28
84	151	26
85	152	24
86	154	23
87	156	21
88	157	19
89	159	17
90	161	15
91	162	14
92	164	12
93	166	10
94	167	8
95	169	7
96	171	5
97	172	3
98	174	1
99	175	0
