iter	Passed	Remaining
0	3	3575
1	5	2627
2	6	2280
3	8	2096
4	10	2008
5	11	1944
6	13	1874
7	14	1826
8	17	1934
9	19	1918
10	21	1910
11	22	1880
12	24	1854
13	25	1830
14	27	1816
15	29	1800
16	32	1866
17	33	1854
18	35	1831
19	37	1827
20	38	1812
21	40	1795
22	41	1777
23	43	1760
24	44	1745
25	47	1797
26	49	1782
27	51	1774
28	52	1764
29	54	1752
30	55	1742
31	57	1734
32	58	1726
33	61	1737
34	63	1748
35	65	1764
36	67	1758
37	69	1751
38	70	1740
39	72	1731
40	73	1723
41	76	1738
42	78	1748
43	80	1750
44	83	1765
45	84	1760
46	86	1755
47	88	1749
48	93	1810
49	96	1839
50	98	1838
51	100	1836
52	102	1829
53	104	1824
54	111	1912
55	113	1920
56	115	1917
57	118	1920
58	120	1917
59	125	1970
60	128	1973
61	129	1965
62	131	1956
63	133	1949
64	135	1942
65	139	1977
66	141	1975
67	143	1970
68	145	1964
69	147	1955
70	148	1948
71	153	1974
72	155	1970
73	157	1969
74	159	1963
75	160	1954
76	164	1968
77	166	1973
78	168	1965
79	170	1960
80	171	1951
81	173	1942
82	174	1925
83	175	1916
84	179	1936
85	181	1933
86	183	1927
87	185	1920
88	186	1913
89	188	1907
90	195	1956
91	198	1959
92	200	1953
93	202	1948
94	203	1940
95	207	1953
96	211	1969
97	213	1965
98	215	1958
99	216	1952
100	218	1948
101	220	1942
102	224	1955
103	226	1952
104	228	1944
105	229	1936
106	231	1930
107	232	1922
108	234	1914
109	237	1924
110	240	1928
111	242	1924
112	244	1918
113	246	1913
114	247	1906
115	249	1903
116	255	1925
117	257	1921
118	258	1916
119	260	1909
120	262	1905
121	263	1898
122	265	1890
123	272	1923
124	274	1920
125	276	1916
126	277	1908
127	279	1907
128	288	1945
129	290	1945
130	292	1938
131	293	1931
132	295	1924
133	301	1950
134	304	1952
135	307	1951
136	309	1950
137	318	1992
138	321	1990
139	323	1984
140	325	1981
141	326	1975
142	331	1986
143	334	1990
144	336	1984
145	338	1979
146	340	1973
147	344	1982
148	347	1983
149	350	1985
150	352	1979
151	353	1974
152	359	1988
153	361	1985
154	363	1979
155	364	1974
156	366	1969
157	368	1963
158	374	1980
159	377	1980
160	378	1971
161	380	1965
162	381	1959
163	383	1953
164	388	1965
165	390	1961
166	392	1956
167	393	1950
168	395	1946
169	397	1941
170	404	1958
171	406	1955
172	407	1949
173	409	1944
174	412	1942
175	413	1935
176	416	1937
177	420	1939
178	422	1937
179	425	1938
180	427	1932
181	429	1929
182	432	1928
183	434	1925
184	435	1919
185	438	1917
186	439	1912
187	442	1909
188	448	1924
189	450	1920
190	452	1915
191	454	1913
192	456	1907
193	457	1902
194	465	1920
195	467	1917
196	469	1913
197	471	1909
198	475	1915
199	480	1923
200	482	1919
201	484	1915
202	486	1910
203	488	1907
204	493	1915
205	496	1911
206	497	1907
207	499	1902
208	501	1897
209	504	1898
210	508	1902
211	510	1898
212	512	1893
213	514	1888
214	515	1883
215	517	1877
216	522	1883
217	524	1881
218	526	1876
219	528	1872
220	530	1870
221	534	1871
222	536	1869
223	538	1865
224	540	1861
225	543	1859
226	545	1857
227	550	1865
228	553	1862
229	554	1857
230	556	1852
231	558	1847
232	560	1843
233	562	1842
234	564	1838
235	566	1834
236	568	1830
237	570	1825
238	571	1820
239	573	1815
240	581	1831
241	588	1841
242	589	1836
243	591	1831
244	596	1837
245	601	1843
246	603	1840
247	605	1835
248	606	1830
249	613	1839
250	616	1840
251	618	1836
252	620	1832
253	630	1852
254	632	1849
255	634	1844
256	636	1839
257	639	1839
258	642	1838
259	644	1834
260	646	1829
261	648	1826
262	650	1822
263	654	1824
264	657	1823
265	658	1818
266	660	1814
267	662	1810
268	664	1806
269	666	1802
270	670	1802
271	674	1806
272	676	1802
273	678	1798
274	681	1795
275	694	1820
276	696	1817
277	698	1813
278	704	1821
279	707	1820
280	709	1816
281	711	1811
282	713	1806
283	716	1806
284	721	1809
285	723	1805
286	724	1800
287	727	1797
288	729	1793
289	731	1791
290	733	1786
291	734	1780
292	736	1776
293	738	1772
294	739	1767
295	741	1762
296	742	1757
297	744	1753
298	746	1750
299	748	1745
300	749	1740
301	751	1736
302	753	1732
303	755	1728
304	756	1724
305	758	1720
306	760	1717
307	762	1713
308	764	1709
309	766	1705
310	767	1700
311	769	1697
312	771	1693
313	773	1689
314	778	1692
315	780	1688
316	781	1684
317	783	1679
318	784	1675
319	786	1671
320	789	1668
321	793	1671
322	795	1666
323	796	1662
324	798	1659
325	800	1654
326	801	1650
327	803	1645
328	808	1648
329	809	1644
330	811	1639
331	812	1635
332	814	1631
333	816	1628
334	817	1623
335	823	1626
336	825	1624
337	827	1620
338	829	1617
339	831	1613
340	833	1609
341	836	1609
342	840	1609
343	842	1606
344	844	1602
345	845	1598
346	847	1594
347	850	1592
348	854	1594
349	856	1590
350	858	1587
351	860	1583
352	861	1579
353	865	1580
354	869	1579
355	870	1575
356	872	1572
357	874	1568
358	876	1565
359	882	1568
360	883	1564
361	886	1561
362	888	1558
363	889	1554
364	891	1550
365	892	1546
366	898	1549
367	900	1547
368	904	1547
369	906	1543
370	913	1548
371	916	1547
372	918	1544
373	921	1542
374	923	1539
375	929	1543
376	933	1542
377	944	1553
378	946	1550
379	948	1547
380	950	1543
381	953	1542
382	957	1542
383	959	1539
384	961	1535
385	963	1532
386	967	1533
387	975	1538
388	977	1534
389	978	1531
390	988	1539
391	991	1538
392	994	1535
393	995	1531
394	997	1528
395	1005	1533
396	1007	1530
397	1011	1529
398	1024	1543
399	1027	1541
400	1033	1543
401	1035	1540
402	1037	1537
403	1039	1533
404	1049	1542
405	1051	1538
406	1054	1536
407	1056	1532
408	1073	1551
409	1084	1560
410	1087	1558
411	1090	1555
412	1094	1555
413	1096	1551
414	1098	1548
415	1099	1543
416	1101	1540
417	1103	1536
418	1104	1532
419	1107	1529
420	1110	1526
421	1112	1523
422	1115	1521
423	1118	1519
424	1123	1520
425	1125	1516
426	1127	1512
427	1128	1508
428	1130	1504
429	1138	1509
430	1140	1506
431	1142	1502
432	1144	1498
433	1146	1494
434	1150	1493
435	1151	1490
436	1153	1486
437	1157	1484
438	1168	1493
439	1170	1489
440	1171	1485
441	1173	1481
442	1176	1478
443	1179	1477
444	1181	1473
445	1183	1469
446	1185	1466
447	1187	1462
448	1188	1458
449	1190	1455
450	1199	1459
451	1202	1458
452	1204	1454
453	1206	1450
454	1207	1446
455	1212	1446
456	1214	1443
457	1216	1439
458	1218	1435
459	1220	1432
460	1221	1428
461	1231	1433
462	1236	1433
463	1245	1439
464	1248	1435
465	1249	1432
466	1251	1428
467	1254	1426
468	1256	1422
469	1258	1418
470	1260	1415
471	1261	1411
472	1264	1408
473	1265	1404
474	1271	1404
475	1273	1402
476	1275	1398
477	1276	1394
478	1278	1390
479	1280	1387
480	1284	1386
481	1287	1383
482	1289	1380
483	1292	1378
484	1294	1375
485	1296	1371
486	1301	1370
487	1303	1367
488	1304	1363
489	1308	1361
490	1310	1358
491	1311	1354
492	1318	1355
493	1321	1353
494	1323	1349
495	1324	1346
496	1326	1342
497	1329	1340
498	1333	1338
499	1335	1335
500	1337	1331
501	1338	1327
502	1340	1324
503	1346	1324
504	1347	1321
505	1349	1317
506	1350	1313
507	1352	1309
508	1353	1306
509	1355	1302
510	1356	1298
511	1361	1297
512	1362	1293
513	1364	1290
514	1365	1286
515	1367	1282
516	1368	1278
517	1370	1275
518	1371	1271
519	1375	1269
520	1377	1266
521	1379	1263
522	1381	1259
523	1382	1255
524	1384	1252
525	1391	1254
526	1393	1250
527	1395	1247
528	1396	1243
529	1398	1240
530	1399	1236
531	1401	1232
532	1404	1230
533	1407	1227
534	1408	1224
535	1410	1220
536	1411	1217
537	1413	1213
538	1414	1210
539	1416	1206
540	1419	1204
541	1422	1201
542	1423	1198
543	1425	1194
544	1426	1191
545	1428	1187
546	1429	1183
547	1431	1180
548	1435	1179
549	1436	1175
550	1438	1172
551	1440	1168
552	1441	1165
553	1443	1161
554	1444	1158
555	1445	1154
556	1447	1151
557	1450	1148
558	1451	1145
559	1453	1141
560	1454	1138
561	1456	1134
562	1457	1131
563	1459	1128
564	1460	1124
565	1464	1122
566	1466	1119
567	1467	1116
568	1469	1113
569	1471	1109
570	1472	1106
571	1474	1103
572	1475	1099
573	1479	1097
574	1481	1094
575	1483	1091
576	1485	1088
577	1486	1085
578	1488	1082
579	1490	1079
580	1494	1078
581	1496	1074
582	1497	1071
583	1499	1068
584	1501	1064
585	1502	1061
586	1503	1058
587	1505	1054
588	1506	1051
589	1509	1048
590	1511	1045
591	1512	1042
592	1514	1039
593	1515	1035
594	1516	1032
595	1518	1029
596	1520	1026
597	1521	1023
598	1524	1020
599	1525	1017
600	1527	1013
601	1528	1010
602	1530	1007
603	1531	1004
604	1532	1000
605	1534	997
606	1536	994
607	1538	992
608	1540	988
609	1541	985
610	1543	982
611	1544	979
612	1546	976
613	1547	973
614	1549	970
615	1551	967
616	1553	964
617	1555	961
618	1556	958
619	1558	954
620	1559	951
621	1561	948
622	1562	945
623	1564	942
624	1567	940
625	1569	937
626	1570	934
627	1572	931
628	1573	928
629	1575	925
630	1576	922
631	1578	919
632	1579	915
633	1582	913
634	1584	910
635	1586	907
636	1587	904
637	1589	901
638	1590	898
639	1592	895
640	1593	892
641	1595	889
642	1597	887
643	1599	884
644	1600	881
645	1602	878
646	1603	875
647	1605	872
648	1606	869
649	1608	866
650	1609	862
651	1612	860
652	1614	857
